Country; Data Source; Beverage Types,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1979,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1978,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1977,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1976,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1975,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1974,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1973,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1972,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1971,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1970,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1969,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1968,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1967,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1966,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1965,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1964,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1963,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1962,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1961,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1960
Afghanistan; Data source; All types,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Afghanistan; Data source; Beer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Afghanistan; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Afghanistan; Data source; Spirits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Afghanistan; Data source; Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albania; Data source; All types,1.4,1.65,1.37,1.33,1.35,1.58,1.59,1.56,1.2,1.77,1.73,1.44,1.17,1.03,1.04,1.04,0.91,1.17,,
Albania; Data source; Beer,0.48,0.5,0.46,0.5,0.52,0.52,0.53,0.52,0.48,0.47,0.54,0.53,0.49,0.51,0.5,0.52,0.52,0.49,,
Albania; Data source; Wine,0.16,0.3,0.16,0.14,0.14,0.19,0.34,0.23,0.13,0.51,0.47,0.36,0.19,0.13,0.21,0.26,0.19,0.28,,
Albania; Data source; Spirits,0.76,0.85,0.74,0.69,0.69,0.87,0.72,0.82,0.59,0.79,0.73,0.55,0.49,0.38,0.33,0.26,0.2,0.41,,
Algeria; Data source; All types,0.56,0.95,1.05,1.38,1.36,1.56,1.49,2.51,2.12,1.67,1.87,1.32,0.88,0.85,0.93,0.91,1.12,1.77,2.57,
Algeria; Data source; Beer,0.27,0.29,0.31,0.31,0.22,0.35,0.41,0.38,0.38,0.38,0.36,0.34,0.33,0.29,0.27,0.26,0.33,0.51,0.67,
Algeria; Data source; Wine,0.26,0.58,0.67,0.98,1.04,1.12,1.07,2.04,1.61,1.17,1.27,0.82,0.5,0.5,0.58,0.57,0.73,1.14,1.6,
Algeria; Data source; Spirits,0.02,0.07,0.07,0.09,0.09,0.08,0,0.06,0.12,0.11,0.23,0.15,0.05,0.05,0.07,0.07,0.07,0.11,0.29,
Angola; Data source; All types,1.7,1.67,1.88,2.32,2.44,3.69,4.74,4.31,4.9,5.43,5.51,5.39,5.25,5.76,5.31,4.92,4.7,4.49,5.37,
Angola; Data source; Beer,1.27,1.36,1.33,1.51,1.3,1.68,1.9,1.72,1.65,1.48,1.38,1.2,1.09,1.12,0.95,0.94,1.01,0.91,0.72,
Angola; Data source; Wine,0.22,0.05,0.19,0.39,0.8,1.73,1.66,1.9,2.37,3.2,3.62,3.65,3.87,4.35,4.01,3.5,2.93,2.38,3.36,
Angola; Data source; Spirits,0.21,0.27,0.36,0.42,0.34,0.29,1.18,0.68,0.89,0.75,0.51,0.55,0.29,0.3,0.36,0.47,0.76,1.2,1.3,
Antigua and Barbuda; Data source; All types,0.94,0.66,0.73,3.01,1.91,2.01,5.52,2.88,5.8,5.89,5.05,4.75,4.84,4.89,3.5,3.64,3.58,3.22,,
Antigua and Barbuda; Data source; Beer,0.28,0.32,0.19,0.57,0.71,0.64,1.09,1.13,1.17,1.17,1.12,0.82,0.78,0.72,0.35,0.38,0.3,0.29,,
Antigua and Barbuda; Data source; Wine,0.22,0.23,0.2,0.06,0.05,0.08,0.07,0.03,0.03,0.04,0.03,0.04,0.03,0.02,0.01,0.02,0.1,0.09,,
Antigua and Barbuda; Data source; Spirits,0.44,0.11,0.34,2.38,1.14,1.29,4.36,1.72,4.6,4.68,3.9,3.89,4.03,4.15,3.14,3.24,3.18,2.84,,
Antigua and Barbuda; Data source; Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Argentina; Data source; All types,16.06,15.71,17.06,17.28,17.53,16.1,15.02,16.12,17.02,18.41,17.84,17.65,16.97,16.59,17.77,17.76,17.6,16.74,16.39,
Argentina; Data source; Beer,0.5,0.49,0.61,0.66,1.02,1.16,0.79,0.76,0.79,0.93,0.8,0.74,0.66,0.71,0.72,0.5,0.37,0.6,0.75,
Argentina; Data source; Wine,13.13,13.93,14.91,14.21,14.02,12.95,12.19,13.35,14.42,15.6,15.07,14.93,14.16,13.75,14.75,14.96,14.85,14.03,13.61,
Argentina; Data source; Spirits,2.44,1.29,1.42,2.41,2.49,1.99,2.04,2.02,1.82,1.89,1.97,1.98,2.14,2.13,2.3,2.3,2.38,2.11,2.03,
Australia; Data source; All types,13.23,13.16,13.54,13.41,13.21,13.46,13.19,12.21,11.69,11.62,11.49,11.03,10.72,10.2,9.94,10.05,9.74,9.29,9.16,
Australia; Data source; Beer,9.02,8.99,9.35,9.38,9.42,9.7,9.57,8.81,8.64,8.64,8.51,8.33,8.1,7.84,7.69,7.72,7.52,6.44,6.36,
Australia; Data source; Wine,2.83,2.7,2.36,2.27,2.18,2.08,1.87,1.66,1.51,1.49,1.52,1.4,1.3,1.17,1.05,0.97,0.96,0.91,0.88,
Australia; Data source; Spirits,1.38,1.47,1.83,1.76,1.61,1.68,1.76,1.74,1.54,1.49,1.45,1.3,1.32,1.19,1.19,1.36,1.26,1.16,1.19,
Austria; Data source; All types,13.4,14,14.2,14.3,14.1,14.5,14.6,14.2,13.6,13.4,13,13.2,13.1,12.4,11.6,10.7,9.8,9.7,9.31,8.91
Austria; Data source; Beer,6.5,6.7,6.8,6.8,6.7,7.1,7,7,6.6,6.5,6.4,6.8,6.5,6.5,6,6,5.5,5.2,4.9,4.7
Austria; Data source; Wine,5.2,5.1,5.3,5.4,5.2,5.3,5.5,5.4,5.4,5.2,5,5,4.8,4.7,4,3.1,3,2.9,3.01,2.81
Austria; Data source; Spirits,1.7,2.2,2.1,2.1,2.2,2.1,2.1,1.8,1.6,1.7,1.6,1.4,1.8,1.2,1.6,1.6,1.3,1.6,1.4,1.4
Austria; Data source; Other alcoholic beverages,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Bahamas; Data source; All types,14.99,14.42,14.65,14.94,13.56,15.28,16.44,15.57,16.23,15.98,16.01,15.14,14.67,17.72,15.52,13.41,12.56,10.43,11.82,
Bahamas; Data source; Beer,3.59,2.62,2.7,2.82,2.88,3.34,3.55,3.69,3.82,4.11,4.21,4.05,3.96,3.61,3.47,3.22,3.07,2.68,2.63,
Bahamas; Data source; Wine,2.12,2.24,2.2,2.87,1.95,2.08,2.66,2.08,1.88,2.04,2.25,1.57,1.64,1.62,1.72,1.28,1.14,1.08,1.16,
Bahamas; Data source; Spirits,9.28,9.54,9.75,9.25,8.73,9.87,10.22,9.8,10.53,9.84,9.54,9.52,9.08,12.48,10.33,8.92,8.35,6.68,8.04,
Bahamas; Data source; Other alcoholic beverages,0.01,0.01,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,
Bahrain; Data source; All types,5.25,No data,6.31,No data,4.7,4.03,4.54,3.36,3.74,4.71,,,,,,,,,,
Bahrain; Data source; Beer,0.97,No data,1.75,No data,1.3,1.22,1.26,1.31,1.21,1.3,,,,,,,,,,
Bahrain; Data source; Wine,0.18,No data,0.46,No data,0.36,0.22,0.21,0.14,0.16,0.14,,,,,,,,,,
Bahrain; Data source; Spirits,3.89,No data,4.1,No data,3.03,2.59,3.07,1.91,2.37,3.27,,,,,,,,,,
Bangladesh; Data source; All types,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bangladesh; Data source; Beer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bangladesh; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bangladesh; Data source; Spirits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Belgium; Data source; All types,13.56,13.4,13.47,13.6,13.46,13.35,13.81,13,12.62,12.43,11.46,11.15,10.73,10.3,10.76,10.48,9.88,,,
Belgium; Data source; Beer,7.9,7.92,8.28,8.8,8.38,8.58,9.25,8.7,8.49,8.66,8.29,7.99,7.94,7.65,7.67,7.93,7.64,,,
Belgium; Data source; Wine,2.82,2.47,2.52,2.31,2.52,2.32,2.25,2.23,2.08,2.04,1.75,1.72,1.53,1.4,1.62,1.33,1.01,,,
Belgium; Data source; Spirits,2.84,3.01,2.67,2.49,2.56,2.45,2.31,2.07,2.05,1.73,1.42,1.44,1.26,1.25,1.47,1.22,1.23,,,
Belize; Data source; All types,7.33,7.05,7.39,6.93,6.78,6.69,5.86,5.66,5.03,5.04,4.93,4.63,4.45,4.68,5.68,5.37,5.67,5.93,5.04,
Belize; Data source; Beer,2.21,1.95,2.62,2.39,2.36,2.22,1.65,1.6,1.13,1.09,1.15,0.94,0.79,0.9,1.08,0.98,0.93,1.06,0.54,
Belize; Data source; Wine,0.16,0.11,0.05,0.08,0.08,0.13,0.09,0.06,0.06,0.06,0.06,0.07,0.03,0.03,0.05,0.07,0.06,0.06,0.06,
Belize; Data source; Spirits,4.96,4.97,4.71,4.45,4.34,4.33,4.13,4,3.83,3.89,3.71,3.62,3.63,3.74,4.54,4.31,4.69,4.81,4.44,
Benin; Data source; All types,2.08,2.49,3.46,2.26,2.24,1.24,1.02,0.98,0.99,0.86,0.8,0.82,0.71,1.07,0.91,0.85,0.91,0.91,0.9,
Benin; Data source; Beer,0.81,0.82,0.82,0.7,0.69,0.69,0.63,0.58,0.57,0.51,0.48,0.46,0.42,0.46,0.47,0.49,0.54,0.53,0.57,
Benin; Data source; Wine,0.18,0.19,0.24,0.21,0.21,0.13,0.16,0.18,0.2,0.17,0.17,0.21,0.17,0.19,0.19,0.23,0.26,0.22,0.2,
Benin; Data source; Spirits,1.09,1.49,2.4,1.35,1.34,0.42,0.23,0.22,0.22,0.18,0.15,0.15,0.11,0.42,0.24,0.13,0.11,0.15,0.13,
Bhutan; Data source; All types,0.53,0.49,0.5,0.48,0.59,0.59,0.53,0.55,0.53,0.54,0.53,0.55,0.52,0.49,0.51,0.5,0.51,0.45,0.42,
Bhutan; Data source; Beer,0.53,0.49,0.5,0.48,0.59,0.59,0.53,0.55,0.53,0.54,0.53,0.55,0.52,0.49,0.51,0.5,0.51,0.45,0.42,
Bhutan; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bhutan; Data source; Spirits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bolivia (Plurinational State of); Data source; All types,4.81,5.04,4.61,3.77,3.36,3.21,2.72,2.3,2.21,2.56,2.65,2.64,2.4,2.23,2.22,2.66,2.17,1.4,1.39,
Bolivia (Plurinational State of); Data source; Beer,1.79,1.7,1.66,1.54,1.25,0.96,0.77,0.76,0.75,0.71,0.65,0.6,0.61,0.59,0.52,0.55,0.52,0.49,0.46,
Bolivia (Plurinational State of); Data source; Wine,0.1,0.1,0.08,0.08,0.07,0.07,0.06,0.06,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,
Bolivia (Plurinational State of); Data source; Spirits,2.93,3.24,2.88,2.14,2.03,2.18,1.89,1.48,1.42,1.81,1.96,2,1.74,1.59,1.64,2.05,1.59,0.85,0.87,
Botswana; Data source; All types,3.45,3.56,5.13,5.27,5.76,5.07,7.58,7.42,6.48,6.44,6.35,6.11,6.44,6.59,6.16,5.83,6.09,5.63,5.9,
Botswana; Data source; Beer,1.36,1.28,2.25,2.54,2.85,2.55,3.98,3.87,3.36,3.34,3.32,3.18,3.4,3.48,3.23,3.03,3.17,2.91,3.05,
Botswana; Data source; Wine,0.21,0.26,0.16,0.1,0.17,0.15,0.16,0.17,0.15,0.13,0.14,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.14,
Botswana; Data source; Spirits,0.86,1.06,1.03,0.71,0.6,0.44,0.46,0.47,0.44,0.45,0.41,0.42,0.37,0.38,0.38,0.39,0.4,0.41,0.41,
Botswana; Data source; Other alcoholic beverages,1.03,0.96,1.69,1.91,2.14,1.92,2.99,2.91,2.53,2.51,2.49,2.39,2.55,2.61,2.42,2.27,2.39,2.18,2.3,
Brazil; Data source; All types,3.54,3.47,3.18,3.08,2.97,3,3.01,2.92,2.9,3.05,2.68,2.65,2.62,1.75,1.87,2.01,1.88,,,
Brazil; Data source; Beer,1.38,1.3,1.05,0.94,0.87,0.87,0.84,0.74,0.83,0.68,0.7,0.78,0.72,0.64,0.72,0.76,0.67,,,
Brazil; Data source; Wine,0.53,0.53,0.5,0.46,0.44,0.46,0.54,0.54,0.46,0.5,0.53,0.47,0.44,0.36,0.36,0.44,0.45,,,
Brazil; Data source; Spirits,1.63,1.64,1.63,1.67,1.66,1.67,1.63,1.63,1.61,1.88,1.45,1.41,1.46,0.75,0.78,0.81,0.76,,,
Brunei Darussalam; Data source; All types,2.1,2.17,1.81,1.62,1.33,1.38,1.29,1.39,1.37,1.32,1.45,1.3,1.28,1.31,1.31,1.32,1.01,0.63,0.48,
Brunei Darussalam; Data source; Beer,1.38,1.32,1.23,1.11,0.88,0.93,0.88,0.96,0.91,0.89,0.93,0.84,0.81,0.86,0.69,0.8,0.65,0.59,0.46,
Brunei Darussalam; Data source; Wine,0.13,0.18,0.12,0.09,0.08,0.08,0.07,0.04,0.05,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.02,
Brunei Darussalam; Data source; Spirits,0.58,0.65,0.46,0.41,0.37,0.37,0.34,0.39,0.41,0.39,0.49,0.43,0.44,0.4,0.58,0.46,0.3,0,0,
Brunei Darussalam; Data source; Other alcoholic beverages,0.01,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0,0,
Bulgaria; Data source; All types,10.91,11.27,10.52,10.86,10.15,10.22,10.14,9.18,8.88,8.44,8.71,9.01,7.84,7.31,7.25,6.52,7.25,,,
Bulgaria; Data source; Beer,3.73,3.64,3.49,3.32,3.1,3.09,2.87,2.6,2.46,2.36,2.13,1.86,1.74,1.53,1.38,1.15,1.22,,,
Bulgaria; Data source; Wine,3.17,3.69,3.32,3.77,3.32,3.7,3.88,3.27,3.28,2.98,3.46,4.27,3.39,3.23,3.52,3.09,3.5,,,
Bulgaria; Data source; Spirits,4.01,3.94,3.71,3.77,3.73,3.43,3.39,3.31,3.14,3.1,3.12,2.88,2.71,2.55,2.35,2.28,2.53,,,
Burkina Faso; Data source; All types,3.76,3.76,3.15,3.67,3.44,2.97,2.82,2.66,3,3.07,3,3.32,3.17,2.9,2.78,2.82,3.12,2.74,2.66,
Burkina Faso; Data source; Beer,0.4,0.4,0.33,0.39,0.37,0.31,0.29,0.28,0.32,0.33,0.32,0.36,0.34,0.31,0.3,0.3,0.33,0.29,0.28,
Burkina Faso; Data source; Wine,0.03,0.11,0.04,0.06,0.07,0.08,0.08,0.08,0.07,0.06,0.04,0.04,0.04,0.06,0.07,0.07,0.1,0.1,0.1,
Burkina Faso; Data source; Spirits,0.11,0.04,0.07,0.03,0.04,0.05,0.05,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
Burkina Faso; Data source; Other alcoholic beverages,3.21,3.2,2.7,3.19,2.96,2.54,2.39,2.27,2.6,2.67,2.62,2.91,2.78,2.52,2.39,2.43,2.68,2.33,2.27,
Burundi; Data source; All types,8.43,7.56,8.78,8.56,8.49,8.22,8.45,7.41,8.1,8,7.94,8.13,8.14,8.2,8.17,8.19,7.71,7.44,7.43,
Burundi; Data source; Beer,2.74,1.98,2.02,1.94,1.77,1.57,1.66,1.42,1.46,1.43,1.33,1.39,1.43,1.52,1.49,1.49,1.42,1.38,1.4,
Burundi; Data source; Wine,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,
Burundi; Data source; Spirits,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.03,0.01,0.01,0.01,0,0.02,0.02,0,0,0,0,0,
Burundi; Data source; Other alcoholic beverages,5.66,5.55,6.73,6.59,6.69,6.6,6.73,5.94,6.62,6.54,6.59,6.71,6.67,6.64,6.66,6.68,6.28,6.05,6.02,
Cote d'Ivoire; Data source; All types,4,4.36,4.56,3.82,3.33,3.07,2.73,2.8,2.72,2.26,2.35,2.87,2.55,2.89,2.96,3.19,2.8,2.38,2.8,
Cote d'Ivoire; Data source; Beer,2.02,1.78,1.62,1.59,1.26,1.25,1.15,1.13,1,0.89,0.9,0.96,0.96,0.93,0.95,1,0.96,0.72,0.93,
Cote d'Ivoire; Data source; Wine,1.8,2.43,2.68,1.97,1.79,1.66,1.41,1.5,1.59,1.1,1.36,1.77,1.49,1.87,1.89,2.08,1.75,1.58,1.8,
Cote d'Ivoire; Data source; Spirits,0.18,0.15,0.25,0.25,0.28,0.16,0.18,0.17,0.13,0.26,0.09,0.14,0.1,0.09,0.11,0.11,0.09,0.08,0.07,
Cabo Verde; Data source; All types,1.92,2.2,2.2,3,4.59,3.71,3.54,3.47,2.31,2.37,2.16,2.24,1.78,1.91,1.89,1.78,1.66,1.72,1.67,
Cabo Verde; Data source; Beer,0.49,0.33,0.58,0.51,0.91,1.07,0.68,0.67,0.49,0.38,0.26,0.22,0.17,0.16,0.16,0.15,0.15,0.15,0.16,
Cabo Verde; Data source; Wine,0.93,1.37,1.81,2.19,2.98,2.06,2.04,1.86,1.2,1.08,1.13,1.41,1.13,1.32,1.29,1.17,1.04,1.08,1.02,
Cabo Verde; Data source; Spirits,0.5,0.51,0.46,0.3,0.7,0.58,0.81,0.94,0.63,0.91,0.75,0.6,0.48,0.44,0.45,0.46,0.47,0.48,0.49,
Cameroon; Data source; All types,6.71,6.65,6.19,6.32,6.51,6.72,6.34,6.23,6.38,6.18,6.66,5.96,6.22,6.67,6.38,6.34,6.03,6.22,6,
Cameroon; Data source; Beer,2.1,1.97,1.5,1.15,1.02,1.31,1.03,1,1,0.85,0.74,0.73,0.69,0.61,0.69,0.57,0.35,0.31,0.33,
Cameroon; Data source; Wine,0.09,0.09,0.33,0.65,0.55,0.69,0.61,0.49,0.45,0.52,0.53,0.49,0.59,0.49,0.41,0.41,0.37,0.42,0.42,
Cameroon; Data source; Spirits,0.04,0.05,0.07,0.15,0.09,0.13,0.1,0.08,0.07,0.06,0.08,0.09,0.11,0.14,0.11,0.09,0.08,0.33,0.09,
Cameroon; Data source; Other alcoholic beverages,4.48,4.55,4.28,4.37,4.86,4.59,4.59,4.66,4.86,4.75,5.31,4.66,4.84,5.43,5.17,5.27,5.22,5.16,5.16,
Canada; Data source; All types,10.15,10.11,9.94,9.92,9.76,9.33,8.83,8.37,7.85,7.48,7.16,7.21,6.97,6.76,6.49,6.49,7.87,7.56,7.39,
Canada; Data source; Beer,5.06,5.18,5.15,5.25,5.19,5.13,4.95,4.76,4.59,4.4,4.22,4.24,4.17,4.04,4.03,3.96,4.32,4.19,4.1,
Canada; Data source; Wine,1.08,0.96,0.87,0.83,0.79,0.75,0.71,0.65,0.57,0.51,0.44,0.42,0.4,0.38,0.33,0.33,0.44,0.41,0.4,
Canada; Data source; Spirits,4.01,3.97,3.92,3.84,3.78,3.45,3.17,2.96,2.69,2.57,2.5,2.55,2.4,2.34,2.02,2.07,2.51,2.39,2.31,
Central African Republic; Data source; All types,2.49,2.64,2.63,2.48,2.54,2.63,2.55,2.55,2.68,2.72,2.7,2.81,2.85,2.69,2.28,2.74,2.68,2.71,2.23,
Central African Republic; Data source; Beer,1.11,1.22,1.14,0.97,0.99,1.16,1.13,1.06,1.03,1.03,0.99,1,1.01,0.98,0.88,0.84,0.83,0.85,0.91,
Central African Republic; Data source; Wine,0.22,0.24,0.3,0.32,0.37,0.29,0.24,0.32,0.46,0.54,0.56,0.63,0.67,0.53,0.27,0.71,0.64,0.71,0.16,
Central African Republic; Data source; Spirits,0.04,0.06,0.05,0.06,0.05,0.04,0.05,0.04,0.06,0.02,0.02,0.05,0.05,0.06,0.05,0.09,0.09,0.07,0.07,
Central African Republic; Data source; Other alcoholic beverages,1.12,1.12,1.14,1.13,1.13,1.14,1.13,1.13,1.13,1.13,1.13,1.13,1.12,1.12,1.08,1.1,1.12,1.08,1.09,
Chad; Data source; All types,0.4,0.48,0.48,0.49,0.51,0.49,0.45,0.46,0.44,0.44,0.45,0.44,0.44,0.39,0.4,0.43,0.31,0.35,0.28,
Chad; Data source; Beer,0.38,0.42,0.41,0.42,0.42,0.4,0.35,0.34,0.32,0.3,0.29,0.27,0.25,0.23,0.22,0.24,0.2,0.2,0.18,
Chad; Data source; Wine,0.02,0.06,0.07,0.07,0.06,0.05,0.07,0.09,0.09,0.1,0.13,0.16,0.17,0.13,0.16,0.17,0.09,0.12,0.08,
Chad; Data source; Spirits,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
Chile; Data source; All types,10.32,9.8,10.33,9.69,8.6,9.99,11.1,12.8,11.61,9.2,9.09,11.6,11.4,11.34,9.69,11.6,11.14,,,
Chile; Data source; Beer,1.09,1.02,1.08,0.75,0.6,1.43,1.43,1.72,1.68,1.35,1.16,1.39,1.5,1.46,1.68,0.98,1.03,,,
